id,prompt_variant,model,question,gold_answer,candidate_answers,llm_response,response_length,human_score,accuracy,simple_conf,CI,adv_conf,mentioned_cands
nq_1621,cfe,qwen-2.5-72b,when was the last year the eagles went to the superbowl?,2017,2005 (80)|2004 (60)|2002 (55)|2008 (50)|2003 (45)|1981 (40)|2015 (30)|2009 (25)|2010 (20)|1990 (10),"The last year the Philadelphia Eagles went to the Super Bowl was 2017, when they won Super Bowl LII against the New England Patriots. Some people might think it was more recent, but that is the most recent Super Bowl appearance for the Eagles.",243,,True,True,0.08,False,[]
trivia_674,baseline,llama-3.1-8b,Who plays the role of Bubble in Absolutely Fabulous?,Jane Horrocks,Joanna Lumley (20)|Harriet Thorpe (18)|Julia Sawalha (15)|June Whitfield (12)|Miranda Richardson (10)|Phyllis Logan (9)|Kathy Burke (8)|Helena Bonham Carter (6)|Tilda Swinton (5)|Kristin Scott Thomas (4),"The role of Bubble in the British sitcom ""Absolutely Fabulous"" is played by actress Jane Horrocks.",98,,True,False,0.038,False,[]
trivia_674,baseline,qwen-2.5-72b,Who plays the role of Bubble in Absolutely Fabulous?,Jane Horrocks,Joanna Lumley (20)|Harriet Thorpe (18)|Julia Sawalha (15)|June Whitfield (12)|Miranda Richardson (10)|Phyllis Logan (9)|Kathy Burke (8)|Helena Bonham Carter (6)|Tilda Swinton (5)|Kristin Scott Thomas (4),"In the television series ""Absolutely Fabulous"" (often abbreviated as ""Ab Fab""), the character of Bubble is played by actress Jane Horrocks. Bubble is known for her eccentric and flamboyant personality, often providing comic relief with her outrageous outfits and naive yet endearing demeanor. Jane Horrocks has been praised for her portrayal of this unique and memorable character.",381,,True,False,0.038,False,[]
trivia_674,baseline,llama-3.3-70b,Who plays the role of Bubble in Absolutely Fabulous?,Jane Horrocks,Joanna Lumley (20)|Harriet Thorpe (18)|Julia Sawalha (15)|June Whitfield (12)|Miranda Richardson (10)|Phyllis Logan (9)|Kathy Burke (8)|Helena Bonham Carter (6)|Tilda Swinton (5)|Kristin Scott Thomas (4),"The role of Bubble in the British sitcom ""Absolutely Fabulous"" is played by actress Jane Horrocks.",98,,True,False,0.038,False,[]
trivia_674,baseline,gpt-4o,Who plays the role of Bubble in Absolutely Fabulous?,Jane Horrocks,Joanna Lumley (20)|Harriet Thorpe (18)|Julia Sawalha (15)|June Whitfield (12)|Miranda Richardson (10)|Phyllis Logan (9)|Kathy Burke (8)|Helena Bonham Carter (6)|Tilda Swinton (5)|Kristin Scott Thomas (4),"The role of Bubble in ""Absolutely Fabulous"" is played by actress Jane Horrocks.",79,,True,False,0.038,False,[]
trivia_674,clarify-doubts,llama-3.1-8b,Who plays the role of Bubble in Absolutely Fabulous?,Jane Horrocks,Joanna Lumley (20)|Harriet Thorpe (18)|Julia Sawalha (15)|June Whitfield (12)|Miranda Richardson (10)|Phyllis Logan (9)|Kathy Burke (8)|Helena Bonham Carter (6)|Tilda Swinton (5)|Kristin Scott Thomas (4),The character Bubble is played by actress Jane Horrocks in the British sitcom Absolutely Fabulous.,98,,True,False,0.038,False,[]
trivia_674,clarify-doubts,qwen-2.5-72b,Who plays the role of Bubble in Absolutely Fabulous?,Jane Horrocks,Joanna Lumley (20)|Harriet Thorpe (18)|Julia Sawalha (15)|June Whitfield (12)|Miranda Richardson (10)|Phyllis Logan (9)|Kathy Burke (8)|Helena Bonham Carter (6)|Tilda Swinton (5)|Kristin Scott Thomas (4),"The role of Bubble in the television series ""Absolutely Fabulous"" is played by Jane Horrocks. Bubble is known for her eccentric and quirky personality, often providing comic relief with her unusual fashion sense and naive outlook.",230,,True,False,0.038,False,[]
trivia_674,clarify-doubts,llama-3.3-70b,Who plays the role of Bubble in Absolutely Fabulous?,Jane Horrocks,Joanna Lumley (20)|Harriet Thorpe (18)|Julia Sawalha (15)|June Whitfield (12)|Miranda Richardson (10)|Phyllis Logan (9)|Kathy Burke (8)|Helena Bonham Carter (6)|Tilda Swinton (5)|Kristin Scott Thomas (4),The role of Bubble in Absolutely Fabulous is played by Jane Horrocks.,69,,True,False,0.038,False,[]
trivia_674,clarify-doubts,gpt-4o,Who plays the role of Bubble in Absolutely Fabulous?,Jane Horrocks,Joanna Lumley (20)|Harriet Thorpe (18)|Julia Sawalha (15)|June Whitfield (12)|Miranda Richardson (10)|Phyllis Logan (9)|Kathy Burke (8)|Helena Bonham Carter (6)|Tilda Swinton (5)|Kristin Scott Thomas (4),"The role of Bubble in ""Absolutely Fabulous"" is played by Jane Horrocks.",71,,True,False,0.038,False,[]
trivia_674,cfe,llama-3.1-8b,Who plays the role of Bubble in Absolutely Fabulous?,Jane Horrocks,Joanna Lumley (20)|Harriet Thorpe (18)|Julia Sawalha (15)|June Whitfield (12)|Miranda Richardson (10)|Phyllis Logan (9)|Kathy Burke (8)|Helena Bonham Carter (6)|Tilda Swinton (5)|Kristin Scott Thomas (4),The role of Bubble in Absolutely Fabulous is played by Jane Horrocks.,69,,True,False,0.038,False,[]
trivia_674,cfe,qwen-2.5-72b,Who plays the role of Bubble in Absolutely Fabulous?,Jane Horrocks,Joanna Lumley (20)|Harriet Thorpe (18)|Julia Sawalha (15)|June Whitfield (12)|Miranda Richardson (10)|Phyllis Logan (9)|Kathy Burke (8)|Helena Bonham Carter (6)|Tilda Swinton (5)|Kristin Scott Thomas (4),"The role of Bubble in Absolutely Fabulous is played by Jane Horrocks. She portrays Bubble as a ditzy and eccentric personal assistant to Edina Monsoon, known for her quirky fashion sense and often nonsensical dialogue.",218,,True,False,0.038,False,[]
trivia_674,cfe,llama-3.3-70b,Who plays the role of Bubble in Absolutely Fabulous?,Jane Horrocks,Joanna Lumley (20)|Harriet Thorpe (18)|Julia Sawalha (15)|June Whitfield (12)|Miranda Richardson (10)|Phyllis Logan (9)|Kathy Burke (8)|Helena Bonham Carter (6)|Tilda Swinton (5)|Kristin Scott Thomas (4),"The role of Bubble is played by Jane Horrocks. Some people might confuse Bubble with other characters, such as Saffron, who is also a part of Edina's life, but Bubble is specifically Edina's eccentric and somewhat dim-witted personal assistant.",244,,True,False,0.038,False,[]
trivia_674,cfe,gpt-4o,Who plays the role of Bubble in Absolutely Fabulous?,Jane Horrocks,Joanna Lumley (20)|Harriet Thorpe (18)|Julia Sawalha (15)|June Whitfield (12)|Miranda Richardson (10)|Phyllis Logan (9)|Kathy Burke (8)|Helena Bonham Carter (6)|Tilda Swinton (5)|Kristin Scott Thomas (4),"The role of Bubble in ""Absolutely Fabulous"" is played by Jane Horrocks. 

Some might mistakenly think that Jennifer Saunders, who created the show and plays the main character Edina Monsoon, also plays Bubble. However, Jane Horrocks is the actress who brings the quirky and eccentric character of Bubble to life.",312,,True,False,0.038,False,[]
trivia_7605,baseline,qwen-2.5-7b,What is the distinctive colour of the soles of shoes designed by Christian Louboutin?,Red,Copper (22)|Black (20)|Blue (18)|Gold (15)|Silver (12)|Pink (10)|Purple (8)|Green (6)|Turquoise (5)|Yellow (4),"The distinctive color of the soles of shoes designed by Christian Louboutin is a deep, bright red. This signature red sole is one of the brand's most recognizable features and is often associated with luxury and elegance in the fashion world.",242,,True,False,0.06,False,[]
